"Disease","Report Year","DHBName","Age Group (year)","Case Count","Case rate per 100,000"
"Rabies and other lyssaviruses",2006,"Waitemata","25–29",0,0
"Typhoid fever",2006,"Waitemata","25–29",0,0
"Acute gastroenteritis",2006,"Waitemata","25–29",2,6.7
"Listeriosis",2006,"Waitemata","25–29",0,0
"Arboviral diseases",2006,"Waitemata","25–29",0,0
"Yersiniosis",2006,"Waitemata","25–29",2,6.7
"Invasive pneumococcal disease",2006,"Waitemata","25–29",0,0
"Paratyphoid fever",2006,"Waitemata","25–29",0,0
"Measles",2006,"Waitemata","25–29",0,0
"Rheumatic fever",2006,"Waitemata","25–29",0,0
"Trichinosis",2006,"Waitemata","25–29",0,0
"Salmonellosis",2006,"Waitemata","25–29",12,40.3
"Brucellosis",2006,"Waitemata","25–29",0,0
"Rickettsial disease",2006,"Waitemata","25–29",0,0
"Hepatitis A",2006,"Waitemata","25–29",1,3.4
"Tuberculosis disease",2006,"Waitemata","25–29",4,13.4
"Legionellosis",2006,"Waitemata","25–29",0,0
"Cryptosporidiosis",2006,"Waitemata","25–29",1,3.4
"Hydatid disease",2006,"Waitemata","25–29",0,0
"Hepatitis C",2006,"Waitemata","25–29",0,0
"Tetanus",2006,"Waitemata","25–29",0,0
"Meningococcal disease",2006,"Waitemata","25–29",0,0
"Pertussis",2006,"Waitemata","25–29",2,6.7
"Hepatitis NOS",2006,"Waitemata","25–29",0,0
"Cholera",2006,"Waitemata","25–29",0,0
"Malaria",2006,"Waitemata","25–29",0,0
"Diphtheria",2006,"Waitemata","25–29",0,0
"Mumps",2006,"Waitemata","25–29",0,0
"Campylobacteriosis",2006,"Waitemata","25–29",177,595.1
"Meningoencephalitis - primary amoebic",2006,"Waitemata","25–29",0,0
"Leprosy",2006,"Waitemata","25–29",0,0
"Giardiasis",2006,"Waitemata","25–29",6,20.2
"VTEC/STEC infection",2006,"Waitemata","25–29",0,0
"Leptospirosis",2006,"Waitemata","25–29",0,0
"Cysticercosis",2006,"Waitemata","25–29",0,0
"Mpox",2006,"Waitemata","25–29",0,0
"Rubella",2006,"Waitemata","25–29",0,0
"Hepatitis B",2006,"Waitemata","25–29",4,13.4
"Taeniasis",2006,"Waitemata","25–29",0,0
"Q fever",2006,"Waitemata","25–29",0,0
"Shigellosis",2006,"Waitemata","25–29",1,3.4
"Toxic shellfish poisoning",2006,"Waitemata","25–29",0,0
"Haemophilus influenzae type b",2006,"Waitemata","25–29",0,0
"Poliomyelitis",2006,"Waitemata","25–29",0,0
"Brucellosis",2006,"Waitemata","30–34",0,0
"Yersiniosis",2006,"Waitemata","30–34",3,8.8
"Cryptosporidiosis",2006,"Waitemata","30–34",2,5.9
"Trichinosis",2006,"Waitemata","30–34",0,0
"Hepatitis A",2006,"Waitemata","30–34",1,2.9
"Rabies and other lyssaviruses",2006,"Waitemata","30–34",0,0
"Measles",2006,"Waitemata","30–34",0,0
"Typhoid fever",2006,"Waitemata","30–34",1,2.9
"Hydatid disease",2006,"Waitemata","30–34",0,0
"Listeriosis",2006,"Waitemata","30–34",0,0
"Invasive pneumococcal disease",2006,"Waitemata","30–34",0,0
